ID,line,path,eva_nr,category,station,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,departure_delay_m,info,arrival_delay_check,departure_delay_check
1727253806425969981-2407080043-9,48,Bonn-Mehlem|Bonn-Bad Godesberg|Bonn UN Campus|Bonn Hbf|Roisdorf|Sechtem|Brühl|Hürth-Kalscheuren,8003361,4,Köln Süd,Nordrhein-Westfalen,Köln,50674,6.938059,50.9273,2024-07-08 01:15:00,2024-07-08 01:15:00,2024-07-08 01:15:00,2024-07-08 01:15:00,0,0,Bauarbeiten. (Quelle: zuginfo.nrw),on_time,on_time
7685762324617193378-2407080038-5,26,Köln/Bonn Flughafen|Köln Messe/Deutz|Köln Hbf|Köln West,8003361,4,Köln Süd,Nordrhein-Westfalen,Köln,50674,6.938059,50.9273,2024-07-08 01:04:00,2024-07-08 01:04:00,2024-07-08 01:05:00,2024-07-08 01:05:00,1,1,Bauarbeiten. (Quelle: zuginfo.nrw),on_time,on_time
-3407935276655121808-2407080111-12,26,Remagen|Oberwinter|Rolandseck|Bonn-Mehlem|Bonn-Bad Godesberg|Bonn UN Campus|Bonn Hbf|Roisdorf|Sechtem|Brühl|Hürth-Kalscheuren,8003361,4,Köln Süd,Nordrhein-Westfalen,Köln,50674,6.938059,50.9273,2024-07-08 01:53:00,2024-07-08 01:54:00,2024-07-08 01:53:00,2024-07-08 01:54:00,0,0,Bauarbeiten. (Quelle: zuginfo.nrw),on_time,on_time
-7428331447715572970-2407080103-14,19,Düren|Merzenich|Buir|Sindorf|Horrem|Frechen-Königsdorf|Köln-Weiden West|Lövenich|Köln-Müngersdorf Technologiepark|Köln-Ehrenfeld|Köln Hansaring|Köln Hbf|Köln Messe/Deutz,8003320,4,Köln Trimbornstrasse,Nordrhein-Westfalen,Köln-Kalk,50500,6.996734,50.935857,2024-07-08 01:45:00,2024-07-08 01:46:00,2024-07-08 01:45:00,2024-07-08 01:46:00,0,0,,on_time,on_time
6993933470489090056-2407080102-8,19,Hennef(Sieg)|Siegburg/Bonn|Troisdorf|Spich|Porz-Wahn|Köln/Bonn Flughafen|Köln Frankfurter Straße,8003320,4,Köln Trimbornstrasse,Nordrhein-Westfalen,Köln-Kalk,50500,6.996734,50.935857,2024-07-08 01:33:00,2024-07-08 01:34:00,2024-07-08 01:33:00,2024-07-08 01:34:00,0,0,,on_time,on_time
-5840621423573480073-2407080046-11,19,Sindorf|Horrem|Frechen-Königsdorf|Köln-Weiden West|Lövenich|Köln-Müngersdorf Technologiepark|Köln-Ehrenfeld|Köln Hansaring|Köln Hbf|Köln Messe/Deutz,8003320,4,Köln Trimbornstrasse,Nordrhein-Westfalen,Köln-Kalk,50500,6.996734,50.935857,2024-07-08 01:15:00,2024-07-08 01:16:00,2024-07-08 01:15:00,2024-07-08 01:16:00,0,0,,on_time,on_time
-5357602023898204124-2407080032-8,19,Hennef(Sieg)|Siegburg/Bonn|Troisdorf|Spich|Porz-Wahn|Köln/Bonn Flughafen|Köln Frankfurter Straße,8003320,4,Köln Trimbornstrasse,Nordrhein-Westfalen,Köln-Kalk,50500,6.996734,50.935857,2024-07-08 01:03:00,2024-07-08 01:04:00,,,0,0,,on_time,on_time
-7164639570264597079-2407080053-13,11,Bergisch Gladbach|Duckterath|Köln-Dellbrück|Köln-Holweide|Köln-Mülheim|Köln-Buchforst|Köln Messe/Deutz|Köln Hbf|Köln Hansaring|Köln-Nippes|Köln Geldernstr./Parkgürtel|Köln-Longerich,8003362,5,Köln Volkhovener Weg,Nordrhein-Westfalen,Köln,50765,6.893241,51.014251,2024-07-08 01:26:00,2024-07-08 01:26:00,2024-07-08 01:26:00,2024-07-08 01:27:00,0,1,,on_time,on_time
-1537118689903044118-2407072354-24,11,Düsseldorf Flughafen Terminal|Düsseldorf-Unterrath|Düsseldorf-Derendorf|Düsseldorf-Zoo|Düsseldorf Wehrhahn|Düsseldorf Hbf|Düsseldorf Friedrichstadt|Düsseldorf-Bilk|Düsseldorf Völklinger Str.|Düsseldorf-Hamm|Neuss Rheinparkcenter|Neuss Am Kaiser|Neuss Hbf|Neuss Süd|Norf|Neuss Allerheiligen|Nievenheim|Dormagen|Dormagen Chempark|Köln-Worringen|Köln-Blumenberg|Köln-Chorweiler Nord|Köln-Chorweiler,8003362,5,Köln Volkhovener Weg,Nordrhein-Westfalen,Köln,50765,6.893241,51.014251,2024-07-08 01:01:00,2024-07-08 01:02:00,2024-07-08 01:02:00,2024-07-08 01:02:00,1,0,,on_time,on_time
1727253806425969981-2407080043-10,48,Bonn-Mehlem|Bonn-Bad Godesberg|Bonn UN Campus|Bonn Hbf|Roisdorf|Sechtem|Brühl|Hürth-Kalscheuren|Köln Süd,8003363,4,Köln West,Nordrhein-Westfalen,Köln,50672,6.934389,50.943665,2024-07-08 01:17:00,2024-07-08 01:18:00,2024-07-08 01:17:00,2024-07-08 01:18:00,0,0,Bauarbeiten. (Quelle: zuginfo.nrw),on_time,on_time
7685762324617193378-2407080038-4,26,Köln/Bonn Flughafen|Köln Messe/Deutz|Köln Hbf,8003363,4,Köln West,Nordrhein-Westfalen,Köln,50672,6.934389,50.943665,2024-07-08 01:01:00,2024-07-08 01:01:00,2024-07-08 01:02:00,2024-07-08 01:03:00,1,2,Bauarbeiten. (Quelle: zuginfo.nrw),on_time,on_time
-3407935276655121808-2407080111-13,26,Remagen|Oberwinter|Rolandseck|Bonn-Mehlem|Bonn-Bad Godesberg|Bonn UN Campus|Bonn Hbf|Roisdorf|Sechtem|Brühl|Hürth-Kalscheuren|Köln Süd,8003363,4,Köln West,Nordrhein-Westfalen,Köln,50672,6.934389,50.943665,2024-07-08 01:56:00,2024-07-08 01:56:00,2024-07-08 01:56:00,2024-07-08 01:56:00,0,0,Bauarbeiten. (Quelle: zuginfo.nrw),on_time,on_time
-7164639570264597079-2407080053-6,11,Bergisch Gladbach|Duckterath|Köln-Dellbrück|Köln-Holweide|Köln-Mülheim,8003364,5,Köln-Buchforst,Nordrhein-Westfalen,Köln,51065,7.004327,50.953487,2024-07-08 01:06:00,2024-07-08 01:07:00,2024-07-08 01:06:00,2024-07-08 01:07:00,0,0,,on_time,on_time
-1228016767566463777-2407080020-21,6,Düsseldorf-Rath Mitte|Düsseldorf-Derendorf|Düsseldorf-Zoo|Düsseldorf Wehrhahn|Düsseldorf Hbf|Düsseldorf Volksgarten|Düsseldorf-Oberbilk|Düsseldorf-Eller Süd|Düsseldorf-Reisholz|Düsseldorf-Benrath|Düsseldorf-Garath|Düsseldorf-Hellerhof|Langenfeld(Rhld)-Berghausen|Langenfeld(Rhld)|Leverkusen-Rheindorf|Leverkusen-Küppersteg|Leverkusen Mitte|Leverkusen Chempark|Köln-Stammheim|Köln-Mülheim,8003364,5,Köln-Buchforst,Nordrhein-Westfalen,Köln,51065,7.004327,50.953487,2024-07-08 01:16:00,2024-07-08 01:17:00,2024-07-08 01:20:00,2024-07-08 01:21:00,4,4,Bauarbeiten. (Quelle: zuginfo.nrw),on_time,on_time
-1537118689903044118-2407072354-31,11,Düsseldorf Flughafen Terminal|Düsseldorf-Unterrath|Düsseldorf-Derendorf|Düsseldorf-Zoo|Düsseldorf Wehrhahn|Düsseldorf Hbf|Düsseldorf Friedrichstadt|Düsseldorf-Bilk|Düsseldorf Völklinger Str.|Düsseldorf-Hamm|Neuss Rheinparkcenter|Neuss Am Kaiser|Neuss Hbf|Neuss Süd|Norf|Neuss Allerheiligen|Nievenheim|Dormagen|Dormagen Chempark|Köln-Worringen|Köln-Blumenberg|Köln-Chorweiler Nord|Köln-Chorweiler|Köln Volkhovener Weg|Köln-Longerich|Köln Geldernstr./Parkgürtel|Köln-Nippes|Köln Hansaring|Köln Hbf|Köln Messe/Deutz,8003364,5,Köln-Buchforst,Nordrhein-Westfalen,Köln,51065,7.004327,50.953487,2024-07-08 01:22:00,2024-07-08 01:23:00,2024-07-08 01:23:00,2024-07-08 01:23:00,1,0,,on_time,on_time
-6270375014114709031-2407080123-6,11,Bergisch Gladbach|Duckterath|Köln-Dellbrück|Köln-Holweide|Köln-Mülheim,8003364,5,Köln-Buchforst,Nordrhein-Westfalen,Köln,51065,7.004327,50.953487,2024-07-08 01:36:00,2024-07-08 01:37:00,2024-07-08 01:36:00,2024-07-08 01:37:00,0,0,,on_time,on_time
